title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
The Mummy,series,3,"['Animation', 'Action & Adventure']",13.022,"['Chris Marquette', 'John Schneider', 'Grey DeLisle', 'Tom Kenny', 'Jim Cummings']",18368,"[['2020-04-22', '2020-04-20', '2020-04-20', '2020-04-20', '2020-04-19']]",5595.0,2001-09-29
Spy Kids,series,1,"['Animation', 'Action & Adventure', 'Kids']",11.666,"['Caitlyn Bairstow', 'Mira Sorvino', 'Travis Turner', 'Patton Oswalt']",7862,"[['2017-12-21', '2017-12-17']]",78938.0,2018-04-20
In Time,film,3,"['Action', 'Thriller', 'Science Fiction']",49.157,"['Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy', 'Olivia Wilde', 'Alex Pettyfer', 'Johnny Galecki', 'Matt Bomer', 'Vincent Kartheiser', 'Yaya DaCosta', 'Toby Hemingway']",5275,"[['2021-10-20', '2021-10-20', '2021-10-20']]",49530.0,2011-10-27
Jumper,film,2,"['Action', 'Adventure', 'Science Fiction']",25.052,"['Hayden Christensen', 'Jamie Bell', 'Samuel L. Jackson', 'Rachel Bilson', 'Michael Rooker', 'Diane Lane', 'AnnaSophia Robb', 'Max Thieriot', 'Jesse James', 'Tom Hulce']",5159,"[['2021-10-20', '2021-10-19']]",8247.0,2008-02-13
Knight and Day,film,2,"['Action', 'Comedy']",27.941,"['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard', 'Viola Davis', 'Jordi Mollà', 'Paul Dano', 'Maggie Grace', 'Marc Blucas', 'Celia Weston', 'Falk Hentschel']",6373,"[['2021-10-18', '2021-10-17']]",37834.0,2010-06-15
Monte Carlo,film,2,"['Adventure', 'Comedy', 'Romance']",16.702,"['Selena Gomez', 'Katie Cassidy', 'Leighton Meester', 'Cory Monteith', 'Andie MacDowell', 'Brett Cullen', 'Amanda Fairbank-Hynes', 'Joe Camp III', 'Luke Bracey', 'Valérie Lemercier']",6259,"[['2021-10-03', '2021-10-03']]",59860.0,2011-07-01
Anna Karenina,film,3,"['Drama', 'Romance']",14.791,"['Keira Knightley', 'Jude Law', 'Aaron Taylor-Johnson', 'Matthew Macfadyen', 'Eric MacLennan', 'Kelly Macdonald', 'Alicia Vikander', 'Domhnall Gleeson', 'Olivia Williams', 'Ruth Wilson']",7414,"[['2021-10-02', '2021-10-02', '2021-10-01']]",96724.0,2012-09-06
"Crazy, Stupid, Love",film,2,"['Comedy', 'Drama', 'Romance']",25.433,"['Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone', 'Lio Tipton', 'Jonah Bobo', 'Joey King', 'Marisa Tomei', 'Beth Littleford', 'John Carroll Lynch']",6287,"[['2021-09-18', '2021-09-17']]",50646.0,2011-07-29
The Kissing Booth 3,film,2,"['Romance', 'Comedy']",24.86,"['Joey King', 'Joel Courtney', 'Jacob Elordi', 'Molly Ringwald', 'Taylor Zakhar Perez', 'Meganne Young', 'Maisie Richardson-Sellers', 'Stephen Jennings', 'Carson White', 'Morné Visser']",5670,"[['2021-08-18', '2021-08-12']]",727745.0,2021-08-11
The Kissing Booth,film,13,"['Romance', 'Comedy']",37.221,"['Joey King', 'Joel Courtney', 'Jacob Elordi', 'Molly Ringwald', 'Stephen Jennings', 'Carson White', 'Meganne Young', 'Frances Sholto-Douglas', 'Nathan Lynn', 'Byron Langley']",15728,"[['2021-08-12', '2018-08-21', '2018-06-14', '2018-06-13', '2018-06-12', '2018-06-12', '2018-06-12', '2018-06-11', '2018-06-11', '2018-06-11', '2018-06-11', '2018-06-11', '2018-06-11']]",454983.0,2018-05-11
